PROD_ID,PROD_NAME,PROD_NAME_ENGLISH,PROD_ZONE,PROD_GROUP
RHHY001,Rhapidophyllum hystrix,Needle Palm,Cold-Hardy,Palms
YUEL002,Yucca elephantipes,Spineless Yucca,Cold-Hardy,Other
WAFI003,Washingtonia filifera,California fan palm,Subtropical,Palms
TRFO004,Trachycarpus fortunei ,Chinese Windmill Palm,Cold-Hardy,Palms
NARI005,Nannorrhops ritchiana ,Mazari Palm,Cold-Hardy,Palms
ARCA006,Areca Catechu,Betelnut palm,Tropical,Palms
CHHU007,Chamaerops humilis,European fan palm,Cold-Hardy,Palms
SAMI008,Sabal minor,Dwarf palmetto palm,Cold-Hardy,Palms
MUBA009,Musa Basjoo,Hardy Banana,Cold-Hardy,Other
CYRE010,Cycas Revoluta,Sago Cycad,Subtropical,Cycads
SYRO011,Syagrus romanzoffiana,Queen palm,Subtropical,Palms
PHRO012,Phoenix roebelenii,Pygmy date palm,Subtropical,Palms
SERE013,Serenoa repens,Saw palmetto palm,Subtropical,Palms
CHEL014,Chamaedorea elegans,Neanthe bella,Subtropical,Palms
CHMI015,Chamaedorea microspadix,Bamboo palm,Subtropical,Palms
HOBE016,Howea belmoreana,Belmore sentry palm,Subtropical,Palms
LIAU017,Livistona australis,Australian fan palm ,Subtropical,Palms
TRTA018,Trachycarpus takil,Kumaon Palm,Cold-Hardy,Palms
CONU019,Cocos nucifera,Coconut palm,Tropical,Palms
RORE020,Roystonea Regia,Cuban royal palm,Tropical,Palms
MUAC021,Musa Acuminata,Banana,Tropical,Other 
LOMA022,Lodoicea maldivica ,Coco-de-mer,Tropical,Palms
